Iteration,BatchReward,GotFlag,AverageActorLoss,PercentageCompleted
631,20265.0,0,-0.0065876786,43.73%
632,18471.0,0,-0.0049914583,43.80%
633,19462.0,0,0.051101793,43.87%
634,17466.0,0,-0.057322636,43.94%
635,14835.0,0,-0.051683206,44.01%
636,18650.0,0,-0.006840476,44.07%
637,20996.0,0,-0.0059176795,44.14%
638,20427.0,0,-0.0056034382,44.21%
639,20056.0,0,0.09924061,44.29%
640,19209.0,0,-0.0063169617,44.36%
641,19424.0,0,-0.06519308,44.43%
642,19324.0,0,-0.0061396556,44.50%
643,19208.0,0,-0.026234528,44.57%
644,20156.0,0,0.066655815,44.64%
645,20487.0,0,-0.080859445,44.71%
646,16460.0,0,-0.0030031202,44.76%
647,20837.0,0,0.029263241,44.83%
648,18844.0,0,-0.0045642448,44.90%
649,19028.0,0,0.029040756,44.97%
650,19051.0,0,-0.0038495117,45.04%
651,21342.0,0,0.07067731,45.11%
652,21163.0,0,-0.021750458,45.17%
653,19833.0,0,-0.030204229,45.24%
654,18143.0,0,-0.0048966063,45.31%
655,18963.0,0,-0.0041273856,45.38%
656,20525.0,0,-0.005077505,45.45%
657,18670.0,0,-0.07716603,45.51%
658,21567.0,0,-0.016110908,45.58%
659,14906.0,0,0.049473163,45.64%
660,14858.0,0,0.025625698,45.71%
661,19735.0,0,0.07354557,45.78%
662,19054.0,0,-0.016020672,45.85%
663,18940.0,0,0.052293524,45.92%
664,21313.0,0,-0.008264459,45.99%
